df.ADM1_VI,provinceMask,df.ADM2_VI,Mask
An Giang,An Giang,Huyện An Phú,Huyện An Phú
An Giang,An Giang,TP. Châu Đốc,Thành phố Châu Đốc
An Giang,An Giang,Huyện Châu Phú,Huyện Châu Phú
An Giang,An Giang,Huyện Châu Thành,Huyện Châu Thành
An Giang,An Giang,Huyện Chợ Mới,Huyện Chợ Mới
An Giang,An Giang,TP. Long Xuyên,Thành phố Long Xuyên
An Giang,An Giang,Huyện Phú Tân,Huyện Phú Tân
An Giang,An Giang,Thị xã Tân Châu,Thị xã Tân Châu
An Giang,An Giang,Huyện Thoại Sơn,Huyện Thoại Sơn
An Giang,An Giang,Huyện Tịnh Biên,Huyện Tịnh Biên
An Giang,An Giang,Huyện Tri Tôn,Huyện Tri Tôn
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,TP. Bà Rịa,Thành phố Bà Rịa
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Châu Đức,Huyện Châu Đức
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Côn Đảo,Huyện Côn Đảo
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Huyện Đất Đỏ
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Long Điền,Huyện Long Điền
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Tân Thành,Huyện Tân Thành
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,TP. Vũng Tàu,Thành phố Vũng Tàu
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Huyện Xuyên Mộc
Bắc Giang,Bắc Giang,TP. Bắc Giang,Thành phố Bắc Giang
Bắc Giang,Bắc Giang,Huyện Hiệp Hòa,Huyện Hiệp Hòa
Bắc Giang,Bắc Giang,Huyện Lạng Giang,Huyện Lạng Giang
Bắc Giang,Bắc Giang,Huyện Lục Nam,Huyện Lục Nam
Bắc Giang,Bắc Giang,Huyện Lục Ngạn,Huyện Lục Ngạn
Bắc Giang,Bắc Giang,Huyện Sơn Động,Huyện Sơn Động
Bắc Giang,Bắc Giang,Huyện Tân Yên,Huyện Tân Yên
Bắc Giang,Bắc Giang,Huyện Việt Yên,Huyện Việt Yên
Bắc Giang,Bắc Giang,Huyện Yên Dũng,Huyện Yên Dũng
Bắc Giang,Bắc Giang,Huyện Yên Thế,Huyện Yên Thế
Bắc Kạn,Bắc Kạn,Huyện Ba Bể,Huyện Ba Bể
Bắc Kạn,Bắc Kạn,Thị xã Bắc Kạn,Thành Phố Bắc Kạn
Bắc Kạn,Bắc Kạn,Huyện Bạch Thông,Huyện Bạch Thông
Bắc Kạn,Bắc Kạn,Huyện Chợ Đồn,Huyện Chợ Đồn
Bắc Kạn,Bắc Kạn,Huyện Chợ Mới,Huyện Chợ Mới
Bắc Kạn,Bắc Kạn,Huyện Na Rì,Huyện Na Rì
Bắc Kạn,Bắc Kạn,Huyện Ngân Sơn,Huyện Ngân Sơn
Bắc Kạn,Bắc Kạn,Huyện Pác Nặm,Huyện Pác Nặm
Bạc Liêu,Bạc Liêu,TP. Bạc Liêu,Thành phố Bạc Liêu
Bạc Liêu,Bạc Liêu,Huyện Đông Hải,Huyện Đông Hải
Bạc Liêu,Bạc Liêu,Huyện Giá Rai,Thị xã Giá Rai
Bạc Liêu,Bạc Liêu,Huyện Hòa Bình,Huyện Hoà Bình
Bạc Liêu,Bạc Liêu,Huyện Hồng Dân,Huyện Hồng Dân
Bạc Liêu,Bạc Liêu,Huyện Phước Long,Huyện Phước Long
Bạc Liêu,Bạc Liêu,Huyện Vĩnh Lợi,Huyện Vĩnh Lợi
Bắc Ninh,Bắc Ninh,TP. Bắc Ninh,Thành phố Bắc Ninh
Bắc Ninh,Bắc Ninh,Huyện Gia Bình,Huyện Gia Bình
Bắc Ninh,Bắc Ninh,Huyện Lương Tài,Huyện Lương Tài
Bắc Ninh,Bắc Ninh,Huyện Quế Võ,Huyện Quế Võ
Bắc Ninh,Bắc Ninh,Huyện Thuận Thành,Huyện Thuận Thành
Bắc Ninh,Bắc Ninh,Huyện Tiên Du,Huyện Tiên Du
Bắc Ninh,Bắc Ninh,Thị xã Từ Sơn,Thị xã Từ Sơn
Bắc Ninh,Bắc Ninh,Huyện Yên Phong,Huyện Yên Phong
Bến Tre,Bến Tre,Huyện Ba Tri,Huyện Ba Tri
Bến Tre,Bến Tre,TP. Bến Tre,Thành phố Bến Tre
Bến Tre,Bến Tre,Huyện Bình Đại,Huyện Bình Đại
Bến Tre,Bến Tre,Huyện Châu Thành,Huyện Châu Thành
Bến Tre,Bến Tre,Huyện Chợ Lách,Huyện Chợ Lách
Bến Tre,Bến Tre,Huyện Giồng Trôm,Huyện Giồng Trôm
Bến Tre,Bến Tre,Huyện Mỏ Cày Bắc,Huyện Mỏ Cày Bắc
Bến Tre,Bến Tre,Huyện Mỏ Cày Nam,Huyện Mỏ Cày Nam
Bến Tre,Bến Tre,Huyện Thạnh Phú,Huyện Thạnh Phú
Bình Định,Bình Định,Huyện An Lão,Huyện An Lão
Bình Định,Bình Định,Thị xã An Nhơn,Thị xã An Nhơn
Bình Định,Bình Định,Huyện Hoài Ân,Huyện Hoài Ân
Bình Định,Bình Định,Huyện Hoài Nhơn,Huyện Hoài Nhơn
Bình Định,Bình Định,Huyện Phù Cát,Huyện Phù Cát
Bình Định,Bình Định,Huyện Phù Mỹ,Huyện Phù Mỹ
Bình Định,Bình Định,TP. Quy Nhơn,Thành phố Qui Nhơn
Bình Định,Bình Định,Huyện Tây Sơn,Huyện Tây Sơn
Bình Định,Bình Định,Huyện Tuy Phước,Huyện Tuy Phước
Bình Định,Bình Định,Huyện Vân Canh,Huyện Vân Canh
Bình Định,Bình Định,Huyện Vĩnh Thạnh,Huyện Vĩnh Thạnh
Bình Dương,Bình Dương,Huyện Bắc Tân Uyên,Huyện Bắc Tân Uyên
Bình Dương,Bình Dương,Huyện Bàu Bàng,Huyện Bàu Bàng
Bình Dương,Bình Dương,Thị xã Bến Cát,Thị xã Bến Cát
Bình Dương,Bình Dương,Huyện Dầu Tiếng,Huyện Dầu Tiếng
Bình Dương,Bình Dương,Thị xã Dĩ An,Thị xã Dĩ An
Bình Dương,Bình Dương,Huyện Phú Giáo,Huyện Phú Giáo
Bình Dương,Bình Dương,Thị xã Tân Uyên,Thị xã Tân Uyên
Bình Dương,Bình Dương,TP. Thủ Dầu Một,Thành phố Thủ Dầu Một
Bình Dương,Bình Dương,Thị xã Thuận An,Thị xã Thuận An
Bình Phước,Bình Phước,Thị xã Bình Long,Thị xã Bình Long
Bình Phước,Bình Phước,Huyện Bù Đăng,Huyện Bù Đăng
Bình Phước,Bình Phước,Huyện Bù Đốp,Huyện Bù Đốp
Bình Phước,Bình Phước,Huyện Bù Gia Mập,Huyện Bù Gia Mập
Bình Phước,Bình Phước,Huyện Chơn Thành,Huyện Chơn Thành
Bình Phước,Bình Phước,Huyện Đồng Phú,Huyện Đồng Phú
Bình Phước,Bình Phước,Thị xã Đồng Xoài,Thị xã Đồng Xoài
Bình Phước,Bình Phước,Huyện Hớn Quản,Huyện Hớn Quản
Bình Phước,Bình Phước,Huyện Lộc Ninh,Huyện Lộc Ninh
Bình Phước,Bình Phước,Thị xã Phước Long,Thị xã Phước Long
Bình Thuận,Bình Thuận,Huyện Bắc Bình,Huyện Bắc Bình
Bình Thuận,Bình Thuận,Huyện Đức Linh,Huyện Đức Linh
Bình Thuận,Bình Thuận,Huyện Hàm Tân,Huyện Hàm Tân
Bình Thuận,Bình Thuận,Huyện Hàm Thuận Bắc,Huyện Hàm Thuận Bắc
Bình Thuận,Bình Thuận,Huyện Hàm Thuận Nam,Huyện Hàm Thuận Nam
Bình Thuận,Bình Thuận,Thị xã La Gi,Thị xã La Gi
Bình Thuận,Bình Thuận,TP. Phan Thiết,Thành phố Phan Thiết
Bình Thuận,Bình Thuận,Huyện Phú Quý,Huyện Phú Quý
Bình Thuận,Bình Thuận,Huyện Tánh Linh,Huyện Tánh Linh
Bình Thuận,Bình Thuận,Huyện Tuy Phong,Huyện Tuy Phong
Cà Mau,Cà Mau,TP. Cà Mau,Thành phố Cà Mau
Cà Mau,Cà Mau,Huyện Cái Nước,Huyện Cái Nước
Cà Mau,Cà Mau,Huyện Đầm Dơi,Huyện Đầm Dơi
Cà Mau,Cà Mau,Huyện Năm Căn,Huyện Năm Căn
Cà Mau,Cà Mau,Huyện Ngọc Hiển,Huyện Ngọc Hiển
Cà Mau,Cà Mau,Huyện Phú Tân,Huyện Phú Tân
Cà Mau,Cà Mau,Huyện Thới Bình,Huyện Thới Bình
Cà Mau,Cà Mau,Huyện Trần Văn Thời,Huyện Trần Văn Thời
Cà Mau,Cà Mau,Huyện U Minh,Huyện U Minh
TP. Cần Thơ,Cần Thơ,Quận Bình Thủy,Quận Bình Thuỷ
TP. Cần Thơ,Cần Thơ,Quận Cái Răng,Quận Cái Răng
TP. Cần Thơ,Cần Thơ,Huyện Cờ Đỏ,Huyện Cờ Đỏ
TP. Cần Thơ,Cần Thơ,Quận Ninh Kiều,Quận Ninh Kiều
TP. Cần Thơ,Cần Thơ,Quận Ô Môn,Quận Ô Môn
TP. Cần Thơ,Cần Thơ,Huyện Phong Điền,Huyện Phong Điền
TP. Cần Thơ,Cần Thơ,Huyện Thới Lai,Huyện Thới Lai
TP. Cần Thơ,Cần Thơ,Quận Thốt Nốt,Quận Thốt Nốt
TP. Cần Thơ,Cần Thơ,Huyện Vĩnh Thạnh,Huyện Vĩnh Thạnh
Cao Bằng,Cao Bằng,Huyện Bảo Lạc,Huyện Bảo Lạc
Cao Bằng,Cao Bằng,Huyện Bảo Lâm,Huyện Bảo Lâm
Cao Bằng,Cao Bằng,TP. Cao Bằng,Thành phố Cao Bằng
Cao Bằng,Cao Bằng,Huyện Hạ Lang,Huyện Hạ Lang
Cao Bằng,Cao Bằng,Huyện Hà Quảng,Huyện Hà Quảng
Cao Bằng,Cao Bằng,Huyện Hòa An,Huyện Hoà An
Cao Bằng,Cao Bằng,Huyện Nguyên Bình,Huyện Nguyên Bình
Cao Bằng,Cao Bằng,Huyện Phục Hòa,Huyện Phục Hoà
Cao Bằng,Cao Bằng,Huyện Quảng Uyên,Huyện Quảng Uyên
Cao Bằng,Cao Bằng,Huyện Thạch An,Huyện Thạch An
Cao Bằng,Cao Bằng,Huyện Thông Nông,Huyện Thông Nông
Cao Bằng,Cao Bằng,Huyện Trà Lĩnh,Huyện Trà Lĩnh
Cao Bằng,Cao Bằng,Huyện Trùng Khánh,Huyện Trùng Khánh
TP. Đà Nẵng,Đà Nẵng,Quận Cẩm Lệ,Quận Cẩm Lệ
TP. Đà Nẵng,Đà Nẵng,Quận Hải Châu,Quận Hải Châu
TP. Đà Nẵng,Đà Nẵng,Huyện Hòa Vang,Huyện Hòa Vang
TP. Đà Nẵng,Đà Nẵng,Huyện Hoàng Sa,Huyện Hoàng Sa
TP. Đà Nẵng,Đà Nẵng,Quận Liên Chiểu,Quận Liên Chiểu
TP. Đà Nẵng,Đà Nẵng,Quận Ngũ Hành Sơn,Quận Ngũ Hành Sơn
TP. Đà Nẵng,Đà Nẵng,Quận Sơn Trà,Quận Sơn Trà
TP. Đà Nẵng,Đà Nẵng,Quận Thanh Khê,Quận Thanh Khê
Đăk Lắk,Đắk Lắk,Huyện Buôn Đôn,Huyện Buôn Đôn
Đăk Lắk,Đắk Lắk,Thị xã Buôn Hồ,Thị Xã Buôn Hồ
Đăk Lắk,Đắk Lắk,TP. Buôn Ma Thuột,Thành phố Buôn Ma Thuột
Đăk Lắk,Đắk Lắk,Huyện Cư Kuin,Huyện Cư Kuin
Đăk Lắk,Đắk Lắk,Huyện Cư M'gar,Huyện Cư M'gar
Đăk Lắk,Đắk Lắk,Huyện Ea H'leo,Huyện Ea H'leo
Đăk Lắk,Đắk Lắk,Huyện Ea Kar,Huyện Ea Kar
Đăk Lắk,Đắk Lắk,Huyện Ea Súp,Huyện Ea Súp
Đăk Lắk,Đắk Lắk,Huyện Krông A Na,Huyện Krông A Na
Đăk Lắk,Đắk Lắk,Huyện Krông Bông,Huyện Krông Bông
Đăk Lắk,Đắk Lắk,Huyện Krông Búk,Huyện Krông Búk
Đăk Lắk,Đắk Lắk,Huyện Krông Năng,Huyện Krông Năng
Đăk Lắk,Đắk Lắk,Huyện Krông Pắc,Huyện Krông Pắc
Đăk Lắk,Đắk Lắk,Huyện Lắk,Huyện Lắk
Đăk Lắk,Đắk Lắk,Huyện M'Đrắk,Huyện M'Đrắk
Đăk Nông,Đắk Nông,Huyện Cư Jút,Huyện Cư Jút
Đăk Nông,Đắk Nông,Huyện Đắk Glong,Huyện Đăk Glong
Đăk Nông,Đắk Nông,Huyện Đắk Mil,Huyện Đắk Mil
Đăk Nông,Đắk Nông,Huyện Đắk R'Lấp,Huyện Đắk R'Lấp
Đăk Nông,Đắk Nông,Huyện Đắk Song,Huyện Đắk Song
Đăk Nông,Đắk Nông,Thị xã Gia Nghĩa,Thị xã Gia Nghĩa
Đăk Nông,Đắk Nông,Huyện Krông Nô,Huyện Krông Nô
Đăk Nông,Đắk Nông,Huyện Tuy Đức,Huyện Tuy Đức
Điện Biên,Điện Biên,Huyện Điện Biên,Huyện Điện Biên
Điện Biên,Điện Biên,Huyện Điện Biên Đông,Huyện Điện Biên Đông
Điện Biên,Điện Biên,TP. Điện Biên Phủ,Thành phố Điện Biên Phủ
Điện Biên,Điện Biên,Huyện Mường Ảng,Huyện Mường Ảng
Điện Biên,Điện Biên,Huyện Mường Chà,Huyện Mường Chà
Điện Biên,Điện Biên,Thị xã Mường Lay,Thị Xã Mường Lay
Điện Biên,Điện Biên,Huyện Mường Nhé,Huyện Mường Nhé
Điện Biên,Điện Biên,Huyện Nậm Pồ,Huyện Nậm Pồ
Điện Biên,Điện Biên,Huyện Tủa Chùa,Huyện Tủa Chùa
Điện Biên,Điện Biên,Huyện Tuần Giáo,Huyện Tuần Giáo
Đồng Nai,Đồng Nai,TP. Biên Hòa,Thành phố Biên Hòa
Đồng Nai,Đồng Nai,Huyện Cẩm Mỹ,Huyện Cẩm Mỹ
Đồng Nai,Đồng Nai,Huyện Định Quán,Huyện Định Quán
Đồng Nai,Đồng Nai,Thị xã Long Khánh,Thị xã Long Khánh
Đồng Nai,Đồng Nai,Huyện Long Thành,Huyện Long Thành
